年,年代,人数,年別合計人数,年代構成比
2013,0~4歳,201621.0,11255221.0,0.017913553185672677
2013,10~14歳,305933.0,11255221.0,0.027181429844869327
2013,15~19歳,428543.0,11255221.0,0.038075040907681865
2013,20~24歳,853151.0,11255221.0,0.07580046629026653
2013,25~29歳,1348715.0,11255221.0,0.11983016592921632
2013,30~34歳,1508929.0,11255221.0,0.13406480423618514
2013,35~39歳,1252522.0,11255221.0,0.11128364338647816
2013,40~44歳,1215729.0,11255221.0,0.1080146715910776
2013,45~49歳,1066693.0,11255221.0,0.09477317237928957
2013,50~54歳,960136.0,11255221.0,0.08530583273309338
2013,55~59歳,752052.0,11255221.0,0.06681805714876678
2013,5~9歳,250920.0,11255221.0,0.022293653762995858
2013,60~64歳,508795.0,11255221.0,0.04520524297123975
2013,65~69歳,296380.0,11255221.0,0.026332668190167035
2013,70歳以上,305102.0,11255221.0,0.02710759744300001
2014,0~4歳,275116.0,14150185.0,0.019442572658944036
2014,10~14歳,385599.0,14150185.0,0.027250456442795626
2014,15~19歳,524634.0,14150185.0,0.037076123033020415
2014,20~24歳,1073722.0,14150185.0,0.07588042135138162
2014,25~29歳,1696486.0,14150185.0,0.11989143604836262
2014,30~34歳,1885387.0,14150185.0,0.13324115550432733
2014,35~39歳,1571329.0,14150185.0,0.11104653402057994
2014,40~44歳,1477955.0,14150185.0,0.10444775103647055
2014,45~49歳,1298616.0,14150185.0,0.0917737824629148
2014,50~54歳,1194565.0,14150185.0,0.08442045104003941
2014,55~59歳,954574.0,14150185.0,0.06746017808247737
2014,5~9歳,347534.0,14150185.0,0.024560385606265923
2014,60~64歳,669342.0,14150185.0,0.04730270310953532
2014,65~69歳,400926.0,14150185.0,0.028333622493274823
2014,70歳以上,394400.0,14150185.0,0.02787242710961023
2015,0~4歳,421014.0,19688247.0,0.02138402672416696
2015,10~14歳,566545.0,19688247.0,0.028775797052932137
2015,15~19歳,809191.0,19688247.0,0.041100205620134694
2015,20~24歳,1564898.0,19688247.0,0.07948386669468338
2015,25~29歳,2427414.0,19688247.0,0.12329254097635
2015,30~34歳,2565737.0,19688247.0,0.13031820456133042
2015,35~39歳,2133051.0,19688247.0,0.10834133683918126
2015,40~44歳,1942247.0,19688247.0,0.09865007280739621
2015,45~49歳,1737491.0,19688247.0,0.08825016264779693
2015,50~54歳,1614951.0,19688247.0,0.08202614483656163
2015,55~59歳,1308302.0,19688247.0,0.06645091358311382
2015,5~9歳,532728.0,19688247.0,0.02705817333559458
2015,60~64歳,960440.0,19688247.0,0.04878240302450492
2015,65~69歳,579804.0,19688247.0,0.029449244516284258
2015,70歳以上,524434.0,19688247.0,0.02663690677996878
2016,0~4歳,558358.0,23218912.0,0.024047552271183076
2016,10~14歳,657785.0,23218912.0,0.028329708127581517
2016,15~19歳,988481.0,23218912.0,0.04257223594283832
2016,20~24歳,2002154.0,23218912.0,0.08622944951081256
2016,25~29歳,3000135.0,23218912.0,0.12921083468510497
2016,30~34歳,3041679.0,23218912.0,0.13100006580842374
2016,35~39歳,2532425.0,23218912.0,0.10906734131211661
2016,40~44歳,2178820.0,23218912.0,0.09383816089229331
2016,45~49歳,1980926.0,23218912.0,0.08531519478604338
2016,50~54歳,1797312.0,23218912.0,0.07740724457717915
2016,55~59歳,1464686.0,23218912.0,0.06308159486542694
2016,5~9歳,671800.0,23218912.0,0.028933310914826673
2016,60~64歳,1098768.0,23218912.0,0.04732211397329901
2016,65~69歳,667712.0,23218912.0,0.02875724754028096
2016,70歳以上,577871.0,23218912.0,0.024887944792589763
2017,0~4歳,690656.0,27428782.0,0.025179973357912867
2017,10~14歳,810797.0,27428782.0,0.029560080356466432
2017,15~19歳,1205646.0,27428782.0,0.043955506299915174
2017,20~24歳,2442342.0,27428782.0,0.08904303515919883
2017,25~29歳,3570603.0,27428782.0,0.13017723499351885
2017,30~34歳,3471862.0,27428782.0,0.1265773303386202
2017,35~39歳,3017984.0,27428782.0,0.11002982195855433
2017,40~44歳,2501392.0,27428782.0,0.09119588321493824
2017,45~49歳,2330855.0,27428782.0,0.08497843615513077
2017,50~54歳,2046218.0,27428782.0,0.07460112519761176
