年,在留資格,年代,人数,合計人数,年代別構成比
2013,その他,0~13歳,44940.0,354737.0,0.126685403552491
2013,その他,10代(14歳以上),9785.0,354737.0,0.027583815615512337
2013,その他,20代,101416.0,354737.0,0.2858906739359018
2013,その他,30代,132829.0,354737.0,0.37444360187970244
2013,その他,40代,46973.0,354737.0,0.13241640990367512
2013,その他,50代,13735.0,354737.0,0.03871882549607174
2013,その他,60代,3349.0,354737.0,0.009440796984808464
2013,その他,70代以上,1710.0,354737.0,0.004820472631837107
2013,定住者,0~13歳,37699.0,163092.0,0.23115174257474308
2013,定住者,10代(14歳以上),17803.0,163092.0,0.10915924754126505
2013,定住者,20代,37451.0,163092.0,0.2296311284428421
2013,定住者,30代,34294.0,163092.0,0.21027395580408603
2013,定住者,40代,22178.0,163092.0,0.1359845976504059
2013,定住者,50代,9332.0,163092.0,0.05721923822137199
2013,定住者,60代,2610.0,163092.0,0.016003237436538885
2013,定住者,70代以上,1725.0,163092.0,0.010576852328746965
2013,技能実習,0~13歳,0.0,154539.0,0.0
2013,技能実習,10代(14歳以上),5272.0,154539.0,0.03411436595293098
2013,技能実習,20代,112182.0,154539.0,0.7259138469900802
2013,技能実習,30代,34794.0,154539.0,0.22514705025915788
2013,技能実習,40代,2279.0,154539.0,0.01474708649596542
2013,技能実習,50代,12.0,154539.0,7.76503018655485e-05
2013,技能実習,60代,0.0,154539.0,0.0
2013,技能実習,70代以上,0.0,154539.0,0.0
2013,日本人の配偶者等,0~13歳,2519.0,156857.0,0.016059213168682304
2013,日本人の配偶者等,10代(14歳以上),1148.0,156857.0,0.007318768049879827
2013,日本人の配偶者等,20代,26891.0,156857.0,0.17143640385829131
2013,日本人の配偶者等,30代,60125.0,156857.0,0.38331091376221654
2013,日本人の配偶者等,40代,39378.0,156857.0,0.25104394448446676
2013,日本人の配偶者等,50代,18957.0,156857.0,0.12085530132541104
2013,日本人の配偶者等,60代,6316.0,156857.0,0.0402659747413249
2013,日本人の配偶者等,70代以上,1523.0,156857.0,0.00970948060972733
