年,在留資格,人数,合計人数,構成比_定住者とその他
2018,その他,576993.0,762900.0,0.7563153755406999
2018,定住者,185907.0,762900.0,0.24368462445930003
2019,その他,643116.0,840715.0,0.7649631563609547
2019,定住者,197599.0,840715.0,0.23503684363904534
2020,その他,703242.0,907089.0,0.7752734296193649
2020,定住者,203847.0,907089.0,0.2247265703806352
2021,その他,739762.0,939050.0,0.787777008678984
2021,定住者,199288.0,939050.0,0.2122229913210159
2022,その他,843375.0,1045760.0,0.8064708919828641
2022,定住者,202385.0,1045760.0,0.19352910801713585
2023,その他,987120.0,1198681.0,0.8235051694320674
2023,定住者,211561.0,1198681.0,0.17649483056793258
2024,その他,1190774.0,1411991.0,0.8433297379374232
2024,定住者,221217.0,1411991.0,0.1566702620625769
